info,symbol,fundingRate,timestamp,datetime,markPrice
"{'symbol': 'BTCUSDT', 'fundingTime': '1725753600000', 'fundingRate': '0.00003745', 'markPrice': '54134.90000000'}",BTC/USDT:USDT,3.745e-05,1725753600000,2024-09-08T00:00:00.000Z,54134.90000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1725782400000', 'fundingRate': '-0.00005999', 'markPrice': '54411.50000000'}",BTC/USDT:USDT,-5.999e-05,1725782400000,2024-09-08T08:00:00.000Z,54411.50000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1725811200000', 'fundingRate': '-0.00005245', 'markPrice': '53664.80000000'}",BTC/USDT:USDT,-5.245e-05,1725811200000,2024-09-08T16:00:00.000Z,53664.80000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1725840000000', 'fundingRate': '-0.00007585', 'markPrice': '54843.61724113'}",BTC/USDT:USDT,-7.585e-05,1725840000000,2024-09-09T00:00:00.000Z,54843.61724113
"{'symbol': 'BTCUSDT', 'fundingTime': '1725868800000', 'fundingRate': '-0.00007108', 'markPrice': '54949.93416312'}",BTC/USDT:USDT,-7.108e-05,1725868800000,2024-09-09T08:00:00.000Z,54949.93416312
"{'symbol': 'BTCUSDT', 'fundingTime': '1725897600001', 'fundingRate': '-0.00003875', 'markPrice': '55360.30000000'}",BTC/USDT:USDT,-3.875e-05,1725897600000,2024-09-09T16:00:00.001Z,55360.30000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1725926400000', 'fundingRate': '-0.00006028', 'markPrice': '57013.68687234'}",BTC/USDT:USDT,-6.028e-05,1725926400000,2024-09-10T00:00:00.000Z,57013.68687234
"{'symbol': 'BTCUSDT', 'fundingTime': '1725955200000', 'fundingRate': '-0.00002930', 'markPrice': '57184.48985106'}",BTC/USDT:USDT,-2.93e-05,1725955200000,2024-09-10T08:00:00.000Z,57184.48985106
"{'symbol': 'BTCUSDT', 'fundingTime': '1725984000000', 'fundingRate': '-0.00001126', 'markPrice': '56563.08885816'}",BTC/USDT:USDT,-1.126e-05,1725984000000,2024-09-10T16:00:00.000Z,56563.08885816
"{'symbol': 'BTCUSDT', 'fundingTime': '1726012800000', 'fundingRate': '-0.00008953', 'markPrice': '57609.10000000'}",BTC/USDT:USDT,-8.953e-05,1726012800000,2024-09-11T00:00:00.000Z,57609.10000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726041600000', 'fundingRate': '-0.00002247', 'markPrice': '56675.10000000'}",BTC/USDT:USDT,-2.247e-05,1726041600000,2024-09-11T08:00:00.000Z,56675.10000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726070400000', 'fundingRate': '-0.00005212', 'markPrice': '56681.42923404'}",BTC/USDT:USDT,-5.212e-05,1726070400000,2024-09-11T16:00:00.000Z,56681.42923404
"{'symbol': 'BTCUSDT', 'fundingTime': '1726099200000', 'fundingRate': '-0.00001951', 'markPrice': '57307.10000000'}",BTC/USDT:USDT,-1.951e-05,1726099200000,2024-09-12T00:00:00.000Z,57307.10000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726128000000', 'fundingRate': '-0.00000546', 'markPrice': '58106.41579433'}",BTC/USDT:USDT,-5.46e-06,1726128000000,2024-09-12T08:00:00.000Z,58106.41579433
"{'symbol': 'BTCUSDT', 'fundingTime': '1726156800000', 'fundingRate': '-0.00002950', 'markPrice': '57475.10176596'}",BTC/USDT:USDT,-2.95e-05,1726156800000,2024-09-12T16:00:00.000Z,57475.10176596
"{'symbol': 'BTCUSDT', 'fundingTime': '1726185600000', 'fundingRate': '-0.00000069', 'markPrice': '58097.00000000'}",BTC/USDT:USDT,-6.9e-07,1726185600000,2024-09-13T00:00:00.000Z,58097.00000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726214400001', 'fundingRate': '-0.00000869', 'markPrice': '58079.80000000'}",BTC/USDT:USDT,-8.69e-06,1726214400000,2024-09-13T08:00:00.001Z,58079.80000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726243200001', 'fundingRate': '-0.00002443', 'markPrice': '59630.00000000'}",BTC/USDT:USDT,-2.443e-05,1726243200000,2024-09-13T16:00:00.001Z,59630.00000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726272000000', 'fundingRate': '-0.00008699', 'markPrice': '60456.10000000'}",BTC/USDT:USDT,-8.699e-05,1726272000000,2024-09-14T00:00:00.000Z,60456.10000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726300800000', 'fundingRate': '0.00000859', 'markPrice': '60110.40000000'}",BTC/USDT:USDT,8.59e-06,1726300800000,2024-09-14T08:00:00.000Z,60110.40000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726329600001', 'fundingRate': '0.00002326', 'markPrice': '59845.55360993'}",BTC/USDT:USDT,2.326e-05,1726329600000,2024-09-14T16:00:00.001Z,59845.55360993
"{'symbol': 'BTCUSDT', 'fundingTime': '1726358400000', 'fundingRate': '-0.00000491', 'markPrice': '59964.00000000'}",BTC/USDT:USDT,-4.91e-06,1726358400000,2024-09-15T00:00:00.000Z,59964.00000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726387200000', 'fundingRate': '0.00000001', 'markPrice': '60167.31814380'}",BTC/USDT:USDT,1e-08,1726387200000,2024-09-15T08:00:00.000Z,60167.31814380
"{'symbol': 'BTCUSDT', 'fundingTime': '1726416000000', 'fundingRate': '0.00000402', 'markPrice': '60304.70000000'}",BTC/USDT:USDT,4.02e-06,1726416000000,2024-09-15T16:00:00.000Z,60304.70000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726444800000', 'fundingRate': '0.00002402', 'markPrice': '59100.61031206'}",BTC/USDT:USDT,2.402e-05,1726444800000,2024-09-16T00:00:00.000Z,59100.61031206
"{'symbol': 'BTCUSDT', 'fundingTime': '1726473600001', 'fundingRate': '0.00003564', 'markPrice': '58874.99142553'}",BTC/USDT:USDT,3.564e-05,1726473600000,2024-09-16T08:00:00.001Z,58874.99142553
"{'symbol': 'BTCUSDT', 'fundingTime': '1726502400000', 'fundingRate': '0.00006762', 'markPrice': '57861.15358865'}",BTC/USDT:USDT,6.762e-05,1726502400000,2024-09-16T16:00:00.000Z,57861.15358865
"{'symbol': 'BTCUSDT', 'fundingTime': '1726531200001', 'fundingRate': '0.00008529', 'markPrice': '58186.90000000'}",BTC/USDT:USDT,8.529e-05,1726531200000,2024-09-17T00:00:00.001Z,58186.90000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726560000000', 'fundingRate': '0.00001911', 'markPrice': '58668.20000000'}",BTC/USDT:USDT,1.911e-05,1726560000000,2024-09-17T08:00:00.000Z,58668.20000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726588800000', 'fundingRate': '0.00005327', 'markPrice': '61111.00000000'}",BTC/USDT:USDT,5.327e-05,1726588800000,2024-09-17T16:00:00.000Z,61111.00000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726617600000', 'fundingRate': '0.00001344', 'markPrice': '60281.00000000'}",BTC/USDT:USDT,1.344e-05,1726617600000,2024-09-18T00:00:00.000Z,60281.00000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726646400000', 'fundingRate': '0.00001678', 'markPrice': '60402.69697726'}",BTC/USDT:USDT,1.678e-05,1726646400000,2024-09-18T08:00:00.000Z,60402.69697726
"{'symbol': 'BTCUSDT', 'fundingTime': '1726675200004', 'fundingRate': '0.00004648', 'markPrice': '59407.05478014'}",BTC/USDT:USDT,4.648e-05,1726675200000,2024-09-18T16:00:00.004Z,59407.05478014
"{'symbol': 'BTCUSDT', 'fundingTime': '1726704000000', 'fundingRate': '0.00003512', 'markPrice': '61728.59070213'}",BTC/USDT:USDT,3.512e-05,1726704000000,2024-09-19T00:00:00.000Z,61728.59070213
"{'symbol': 'BTCUSDT', 'fundingTime': '1726732800000', 'fundingRate': '0.00002949', 'markPrice': '62054.80000000'}",BTC/USDT:USDT,2.949e-05,1726732800000,2024-09-19T08:00:00.000Z,62054.80000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726761600001', 'fundingRate': '0.00004072', 'markPrice': '63127.98222695'}",BTC/USDT:USDT,4.072e-05,1726761600000,2024-09-19T16:00:00.001Z,63127.98222695
"{'symbol': 'BTCUSDT', 'fundingTime': '1726790400000', 'fundingRate': '0.00008065', 'markPrice': '62929.30000000'}",BTC/USDT:USDT,8.065e-05,1726790400000,2024-09-20T00:00:00.000Z,62929.30000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726819200001', 'fundingRate': '-0.00000503', 'markPrice': '63494.40000000'}",BTC/USDT:USDT,-5.03e-06,1726819200000,2024-09-20T08:00:00.001Z,63494.40000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726848000000', 'fundingRate': '0.00005543', 'markPrice': '63115.60000000'}",BTC/USDT:USDT,5.543e-05,1726848000000,2024-09-20T16:00:00.000Z,63115.60000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726876800001', 'fundingRate': '0.00004638', 'markPrice': '63181.22999291'}",BTC/USDT:USDT,4.638e-05,1726876800000,2024-09-21T00:00:00.001Z,63181.22999291
"{'symbol': 'BTCUSDT', 'fundingTime': '1726905600000', 'fundingRate': '0.00010000', 'markPrice': '63062.62952171'}",BTC/USDT:USDT,0.0001,1726905600000,2024-09-21T08:00:00.000Z,63062.62952171
"{'symbol': 'BTCUSDT', 'fundingTime': '1726934400000', 'fundingRate': '0.00008234', 'markPrice': '63146.60000000'}",BTC/USDT:USDT,8.234e-05,1726934400000,2024-09-21T16:00:00.000Z,63146.60000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726963200000', 'fundingRate': '0.00006285', 'markPrice': '63320.70000000'}",BTC/USDT:USDT,6.285e-05,1726963200000,2024-09-22T00:00:00.000Z,63320.70000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1726992000000', 'fundingRate': '0.00009254', 'markPrice': '62909.30000000'}",BTC/USDT:USDT,9.254e-05,1726992000000,2024-09-22T08:00:00.000Z,62909.30000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727020800000', 'fundingRate': '0.00005537', 'markPrice': '62628.23061702'}",BTC/USDT:USDT,5.537e-05,1727020800000,2024-09-22T16:00:00.000Z,62628.23061702
"{'symbol': 'BTCUSDT', 'fundingTime': '1727049600000', 'fundingRate': '0.00006546', 'markPrice': '63558.50000000'}",BTC/USDT:USDT,6.546e-05,1727049600000,2024-09-23T00:00:00.000Z,63558.50000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727078400000', 'fundingRate': '0.00001364', 'markPrice': '63519.90000000'}",BTC/USDT:USDT,1.364e-05,1727078400000,2024-09-23T08:00:00.000Z,63519.90000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727107200000', 'fundingRate': '0.00005304', 'markPrice': '63589.80000000'}",BTC/USDT:USDT,5.304e-05,1727107200000,2024-09-23T16:00:00.000Z,63589.80000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727136000000', 'fundingRate': '0.00002324', 'markPrice': '63303.39994326'}",BTC/USDT:USDT,2.324e-05,1727136000000,2024-09-24T00:00:00.000Z,63303.39994326
"{'symbol': 'BTCUSDT', 'fundingTime': '1727164800000', 'fundingRate': '0.00002895', 'markPrice': '63531.97252482'}",BTC/USDT:USDT,2.895e-05,1727164800000,2024-09-24T08:00:00.000Z,63531.97252482
"{'symbol': 'BTCUSDT', 'fundingTime': '1727193600001', 'fundingRate': '-0.00000182', 'markPrice': '63128.90000000'}",BTC/USDT:USDT,-1.82e-06,1727193600000,2024-09-24T16:00:00.001Z,63128.90000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727222400000', 'fundingRate': '0.00001223', 'markPrice': '64243.20000000'}",BTC/USDT:USDT,1.223e-05,1727222400000,2024-09-25T00:00:00.000Z,64243.20000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727251200003', 'fundingRate': '0.00001141', 'markPrice': '63815.43419858'}",BTC/USDT:USDT,1.141e-05,1727251200000,2024-09-25T08:00:00.003Z,63815.43419858
"{'symbol': 'BTCUSDT', 'fundingTime': '1727280000000', 'fundingRate': '0.00001336', 'markPrice': '63470.00000000'}",BTC/USDT:USDT,1.336e-05,1727280000000,2024-09-25T16:00:00.000Z,63470.00000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727308800005', 'fundingRate': '0.00001650', 'markPrice': '63121.20731206'}",BTC/USDT:USDT,1.65e-05,1727308800000,2024-09-26T00:00:00.005Z,63121.20731206
"{'symbol': 'BTCUSDT', 'fundingTime': '1727337600000', 'fundingRate': '0.00006246', 'markPrice': '63823.40000000'}",BTC/USDT:USDT,6.246e-05,1727337600000,2024-09-26T08:00:00.000Z,63823.40000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727366400000', 'fundingRate': '0.00010000', 'markPrice': '65195.98735461'}",BTC/USDT:USDT,0.0001,1727366400000,2024-09-26T16:00:00.000Z,65195.98735461
"{'symbol': 'BTCUSDT', 'fundingTime': '1727395200000', 'fundingRate': '0.00010000', 'markPrice': '65144.38297872'}",BTC/USDT:USDT,0.0001,1727395200000,2024-09-27T00:00:00.000Z,65144.38297872
"{'symbol': 'BTCUSDT', 'fundingTime': '1727424000000', 'fundingRate': '0.00006722', 'markPrice': '65443.46173050'}",BTC/USDT:USDT,6.722e-05,1727424000000,2024-09-27T08:00:00.000Z,65443.46173050
"{'symbol': 'BTCUSDT', 'fundingTime': '1727452800000', 'fundingRate': '0.00002275', 'markPrice': '65974.85614184'}",BTC/USDT:USDT,2.275e-05,1727452800000,2024-09-27T16:00:00.000Z,65974.85614184
"{'symbol': 'BTCUSDT', 'fundingTime': '1727481600000', 'fundingRate': '0.00005455', 'markPrice': '65749.60000000'}",BTC/USDT:USDT,5.455e-05,1727481600000,2024-09-28T00:00:00.000Z,65749.60000000
"{'symbol': 'BTCUSDT', 'fundingTime': '1727510400001', 'fundingRate': '0.00008300', 'markPrice': '65794.28179433'}",BTC/USDT:USDT,8.3e-05,1727510400000,2024-09-28T08:00:00.001Z,65794.28179433
"{'symbol': 'BTCUSDT', 'fundingTime': '1727539200000', 'fundingRate': '0.00001414', 'markPrice': '65595.27422695'}",BTC/USDT:USDT,1.414e-05,1727539200000,2024-09-28T16:00:00.000Z,65595.27422695
"{'symbol': 'BTCUSDT', 'fundingTime': '1727568000001', 'fundingRate': '0.00000725', 'markPrice': '65826.65036170'}",BTC/USDT:USDT,7.25e-06,1727568000000,2024-09-29T00:00:00.001Z,65826.65036170
