DEBUG:asyncio:Using proactor: IocpProactor
INFO:root:{'e': 'kline', 'E': 1758371281018, 's': 'BTCUSDT', 'k': {'t': 1758371280000, 'T': 1758371280999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473848, 'L': 5245473850, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.00193000', 'n': 3, 'x': True, 'q': '223.54161310', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371284017, 's': 'BTCUSDT', 'k': {'t': 1758371283000, 'T': 1758371283999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473857, 'L': 5245473857, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.00011000', 'n': 1, 'x': True, 'q': '12.74071370', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371290034, 's': 'BTCUSDT', 'k': {'t': 1758371289000, 'T': 1758371289999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473865, 'L': 5245473866, 'o': '115824.68000000', 'c': '115824.67000000', 'h': '115824.68000000', 'l': '115824.67000000', 'v': '0.00258000', 'n': 2, 'x': True, 'q': '298.82766580', 'V': '0.00172000', 'Q': '199.21844960', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371291014, 's': 'BTCUSDT', 'k': {'t': 1758371290000, 'T': 1758371290999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473867, 'L': 5245473867, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.00023000', 'n': 1, 'x': True, 'q': '26.63967410', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371292028, 's': 'BTCUSDT', 'k': {'t': 1758371291000, 'T': 1758371291999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473868, 'L': 5245473869, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.01017000', 'n': 2, 'x': True, 'q': '1177.93689390', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371294021, 's': 'BTCUSDT', 'k': {'t': 1758371293000, 'T': 1758371293999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473870, 'L': 5245473871, 'o': '115824.67000000', 'c': '115824.68000000', 'h': '115824.68000000', 'l': '115824.67000000', 'v': '0.00035000', 'n': 2, 'x': True, 'q': '40.53863620', 'V': '0.00017000', 'Q': '19.69019560', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371295023, 's': 'BTCUSDT', 'k': {'t': 1758371294000, 'T': 1758371294999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473872, 'L': 5245473872, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.00009000', 'n': 1, 'x': True, 'q': '10.42422030', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371297030, 's': 'BTCUSDT', 'k': {'t': 1758371296000, 'T': 1758371296999, 's': 'BTCUSDT', 'i': '1s', 'f': -1, 'L': -1, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.00000000', 'n': 0, 'x': True, 'q': '0.00000000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371298015, 's': 'BTCUSDT', 'k': {'t': 1758371297000, 'T': 1758371297999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473876, 'L': 5245473876, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.00431000', 'n': 1, 'x': True, 'q': '499.20432770', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371299015, 's': 'BTCUSDT', 'k': {'t': 1758371298000, 'T': 1758371298999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473877, 'L': 5245473878, 'o': '115824.68000000', 'c': '115824.68000000', 'h': '115824.68000000', 'l': '115824.68000000', 'v': '0.00344000', 'n': 2, 'x': True, 'q': '398.43689920', 'V': '0.00344000', 'Q': '398.43689920', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371301022, 's': 'BTCUSDT', 'k': {'t': 1758371300000, 'T': 1758371300999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473891, 'L': 5245473896, 'o': '115824.68000000', 'c': '115824.68000000', 'h': '115824.68000000', 'l': '115824.67000000', 'v': '0.00243000', 'n': 6, 'x': True, 'q': '281.45395710', 'V': '0.00090000', 'Q': '104.24221200', 'B': '0'}}
INFO:root:{'e': 'kline', 'E': 1758371304024, 's': 'BTCUSDT', 'k': {'t': 1758371303000, 'T': 1758371303999, 's': 'BTCUSDT', 'i': '1s', 'f': 5245473904, 'L': 5245473904, 'o': '115824.67000000', 'c': '115824.67000000', 'h': '115824.67000000', 'l': '115824.67000000', 'v': '0.00789000', 'n': 1, 'x': True, 'q': '913.85664630', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}}
