[22:06:55] [DEBUG] Using proactor: IocpProactor
[22:06:56] [INFO] {'e': 'trade', 'E': 1758373615890, 's': 'BTCUSDT', 't': 5245487872, 'p': '115868.90000000', 'q': '0.00079000', 'T': 1758373615889, 'm': True, 'M': True}
[22:06:57] [INFO] {'e': 'trade', 'E': 1758373617939, 's': 'BTCUSDT', 't': 5245487879, 'p': '115868.90000000', 'q': '0.00496000', 'T': 1758373617939, 'm': True, 'M': True}
[22:06:58] [INFO] {'e': 'trade', 'E': 1758373618502, 's': 'BTCUSDT', 't': 5245487882, 'p': '115868.90000000', 'q': '0.00011000', 'T': 1758373618501, 'm': True, 'M': True}
[22:07:00] [INFO] {'e': 'trade', 'E': 1758373620820, 's': 'BTCUSDT', 't': 5245487886, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373620820, 'm': False, 'M': True}
[22:07:01] [INFO] {'e': 'trade', 'E': 1758373621123, 's': 'BTCUSDT', 't': 5245487888, 'p': '115868.91000000', 'q': '0.00067000', 'T': 1758373621123, 'm': False, 'M': True}
[22:07:02] [INFO] {'e': 'trade', 'E': 1758373622367, 's': 'BTCUSDT', 't': 5245487893, 'p': '115868.90000000', 'q': '0.00129000', 'T': 1758373622367, 'm': True, 'M': True}
[22:07:02] [INFO] {'e': 'trade', 'E': 1758373622654, 's': 'BTCUSDT', 't': 5245487895, 'p': '115868.91000000', 'q': '0.02158000', 'T': 1758373622654, 'm': False, 'M': True}
[22:07:02] [INFO] {'e': 'trade', 'E': 1758373622690, 's': 'BTCUSDT', 't': 5245487896, 'p': '115868.91000000', 'q': '0.00093000', 'T': 1758373622690, 'm': False, 'M': True}
[22:07:02] [INFO] {'e': 'trade', 'E': 1758373622694, 's': 'BTCUSDT', 't': 5245487897, 'p': '115868.91000000', 'q': '0.00014000', 'T': 1758373622694, 'm': False, 'M': True}
[22:07:03] [INFO] {'e': 'trade', 'E': 1758373623941, 's': 'BTCUSDT', 't': 5245487905, 'p': '115868.90000000', 'q': '0.00536000', 'T': 1758373623940, 'm': True, 'M': True}
[22:07:03] [INFO] {'e': 'trade', 'E': 1758373623980, 's': 'BTCUSDT', 't': 5245487906, 'p': '115868.90000000', 'q': '0.00106000', 'T': 1758373623979, 'm': True, 'M': True}
[22:07:04] [INFO] {'e': 'trade', 'E': 1758373624605, 's': 'BTCUSDT', 't': 5245487909, 'p': '115868.90000000', 'q': '0.00034000', 'T': 1758373624604, 'm': True, 'M': True}
[22:07:04] [INFO] {'e': 'trade', 'E': 1758373624788, 's': 'BTCUSDT', 't': 5245487910, 'p': '115868.90000000', 'q': '0.00025000', 'T': 1758373624788, 'm': True, 'M': True}
[22:07:04] [INFO] {'e': 'trade', 'E': 1758373624869, 's': 'BTCUSDT', 't': 5245487911, 'p': '115868.91000000', 'q': '0.00025000', 'T': 1758373624869, 'm': False, 'M': True}
[22:07:07] [INFO] {'e': 'trade', 'E': 1758373627462, 's': 'BTCUSDT', 't': 5245487916, 'p': '115868.90000000', 'q': '0.00458000', 'T': 1758373627462, 'm': True, 'M': True}
[22:07:07] [INFO] {'e': 'trade', 'E': 1758373627785, 's': 'BTCUSDT', 't': 5245487917, 'p': '115868.90000000', 'q': '0.00029000', 'T': 1758373627785, 'm': True, 'M': True}
[22:07:09] [INFO] {'e': 'trade', 'E': 1758373629026, 's': 'BTCUSDT', 't': 5245487921, 'p': '115868.90000000', 'q': '0.00051000', 'T': 1758373629026, 'm': True, 'M': True}
[22:07:11] [INFO] {'e': 'trade', 'E': 1758373631194, 's': 'BTCUSDT', 't': 5245487923, 'p': '115868.91000000', 'q': '0.00058000', 'T': 1758373631194, 'm': False, 'M': True}
[22:07:12] [INFO] {'e': 'trade', 'E': 1758373632794, 's': 'BTCUSDT', 't': 5245487929, 'p': '115868.91000000', 'q': '0.00044000', 'T': 1758373632793, 'm': False, 'M': True}
[22:07:14] [INFO] {'e': 'trade', 'E': 1758373633923, 's': 'BTCUSDT', 't': 5245487932, 'p': '115868.90000000', 'q': '0.00475000', 'T': 1758373633923, 'm': True, 'M': True}
[22:07:14] [INFO] {'e': 'trade', 'E': 1758373633947, 's': 'BTCUSDT', 't': 5245487933, 'p': '115868.90000000', 'q': '0.00621000', 'T': 1758373633947, 'm': True, 'M': True}
[22:07:15] [INFO] {'e': 'trade', 'E': 1758373635646, 's': 'BTCUSDT', 't': 5245487937, 'p': '115868.91000000', 'q': '0.05523000', 'T': 1758373635645, 'm': False, 'M': True}
[22:07:16] [INFO] {'e': 'trade', 'E': 1758373635953, 's': 'BTCUSDT', 't': 5245487938, 'p': '115868.90000000', 'q': '0.00530000', 'T': 1758373635952, 'm': True, 'M': True}
[22:07:18] [INFO] {'e': 'trade', 'E': 1758373638076, 's': 'BTCUSDT', 't': 5245487945, 'p': '115868.91000000', 'q': '0.00100000', 'T': 1758373638076, 'm': False, 'M': True}
[22:07:19] [INFO] {'e': 'trade', 'E': 1758373639112, 's': 'BTCUSDT', 't': 5245487948, 'p': '115868.91000000', 'q': '0.00057000', 'T': 1758373639112, 'm': False, 'M': True}
[22:07:22] [INFO] {'e': 'trade', 'E': 1758373641633, 's': 'BTCUSDT', 't': 5245487954, 'p': '115868.91000000', 'q': '0.00083000', 'T': 1758373641632, 'm': False, 'M': True}
[22:07:23] [INFO] {'e': 'trade', 'E': 1758373643394, 's': 'BTCUSDT', 't': 5245487964, 'p': '115868.90000000', 'q': '0.00029000', 'T': 1758373643394, 'm': True, 'M': True}
[22:07:24] [INFO] {'e': 'trade', 'E': 1758373644221, 's': 'BTCUSDT', 't': 5245487970, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373644221, 'm': False, 'M': True}
[22:07:24] [INFO] {'e': 'trade', 'E': 1758373644531, 's': 'BTCUSDT', 't': 5245487971, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373644531, 'm': False, 'M': True}
[22:07:28] [INFO] {'e': 'trade', 'E': 1758373648953, 's': 'BTCUSDT', 't': 5245487979, 'p': '115868.90000000', 'q': '0.00020000', 'T': 1758373648953, 'm': True, 'M': True}
[22:07:30] [INFO] {'e': 'trade', 'E': 1758373650265, 's': 'BTCUSDT', 't': 5245487982, 'p': '115868.90000000', 'q': '0.00010000', 'T': 1758373650265, 'm': True, 'M': True}
[22:07:30] [INFO] {'e': 'trade', 'E': 1758373650654, 's': 'BTCUSDT', 't': 5245487983, 'p': '115868.91000000', 'q': '0.07553000', 'T': 1758373650654, 'm': False, 'M': True}
[22:07:30] [INFO] {'e': 'trade', 'E': 1758373650662, 's': 'BTCUSDT', 't': 5245487984, 'p': '115868.90000000', 'q': '0.00416000', 'T': 1758373650662, 'm': True, 'M': True}
[22:07:31] [INFO] {'e': 'trade', 'E': 1758373651209, 's': 'BTCUSDT', 't': 5245487987, 'p': '115868.91000000', 'q': '0.00020000', 'T': 1758373651209, 'm': False, 'M': True}
[22:07:33] [INFO] {'e': 'trade', 'E': 1758373653568, 's': 'BTCUSDT', 't': 5245487991, 'p': '115868.91000000', 'q': '0.00050000', 'T': 1758373653567, 'm': False, 'M': True}
[22:07:34] [INFO] {'e': 'trade', 'E': 1758373654638, 's': 'BTCUSDT', 't': 5245487996, 'p': '115868.91000000', 'q': '0.00007000', 'T': 1758373654638, 'm': False, 'M': True}
[22:07:35] [INFO] {'e': 'trade', 'E': 1758373655606, 's': 'BTCUSDT', 't': 5245487999, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373655606, 'm': False, 'M': True}
[22:07:36] [INFO] {'e': 'trade', 'E': 1758373656033, 's': 'BTCUSDT', 't': 5245488002, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373656033, 'm': False, 'M': True}
[22:07:36] [INFO] {'e': 'trade', 'E': 1758373656263, 's': 'BTCUSDT', 't': 5245488004, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373656263, 'm': False, 'M': True}
[22:07:37] [INFO] {'e': 'trade', 'E': 1758373657979, 's': 'BTCUSDT', 't': 5245488010, 'p': '115868.90000000', 'q': '0.00520000', 'T': 1758373657979, 'm': True, 'M': True}
[22:07:37] [INFO] {'e': 'trade', 'E': 1758373657990, 's': 'BTCUSDT', 't': 5245488011, 'p': '115868.90000000', 'q': '0.00027000', 'T': 1758373657990, 'm': True, 'M': True}
[22:07:38] [INFO] {'e': 'trade', 'E': 1758373658591, 's': 'BTCUSDT', 't': 5245488012, 'p': '115868.90000000', 'q': '0.00027000', 'T': 1758373658590, 'm': True, 'M': True}
[22:07:38] [INFO] {'e': 'trade', 'E': 1758373658627, 's': 'BTCUSDT', 't': 5245488013, 'p': '115868.90000000', 'q': '0.01000000', 'T': 1758373658626, 'm': True, 'M': True}
[22:07:39] [INFO] {'e': 'trade', 'E': 1758373659853, 's': 'BTCUSDT', 't': 5245488017, 'p': '115868.90000000', 'q': '0.00008000', 'T': 1758373659853, 'm': True, 'M': True}
[22:07:42] [INFO] {'e': 'trade', 'E': 1758373662758, 's': 'BTCUSDT', 't': 5245488029, 'p': '115868.90000000', 'q': '0.00006000', 'T': 1758373662757, 'm': True, 'M': True}
[22:07:44] [INFO] {'e': 'trade', 'E': 1758373664261, 's': 'BTCUSDT', 't': 5245488032, 'p': '115868.91000000', 'q': '0.01599000', 'T': 1758373664261, 'm': False, 'M': True}
